resolucion,genre,deaths,sharktype
no injury,f,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,f,0.0,whiteshark
no injury,m,0.0,whiteshark
death,f,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,f,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,f,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,f,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
death,f,1.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,f,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,f,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,f,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,f,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,,1.0,whiteshark
bite,f,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,f,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
no injury,f,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,f,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
bite,m,,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
bite,otro,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,f,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
death,,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
bite,,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,f,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,f,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
death,f,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,f,1.0,whiteshark
bite,m,0.0,whiteshark
,,,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,,0.0,whiteshark
no injury,,0.0,whiteshark
bite,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,f,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
bite,,0.0,whiteshark
bite,,0.0,whiteshark
bite,f,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,,0.0,whiteshark
bite,,0.0,whiteshark
bite,m,0.0,whiteshark
,,,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,,,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
death,m,1.0,whiteshark
no injury,,0.0,whiteshark
bite,,,whiteshark
death,f,1.0,whiteshark
death,f,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,,,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,f,1.0,whiteshark
bite,m,0.0,whiteshark
bite,m,0.0,whiteshark
no injury,,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
death,f,1.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
death,m,,whiteshark
death,m,1.0,whiteshark
death,f,1.0,whiteshark
death,m,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
death,m,0.0,whiteshark
bite,m,0.0,whiteshark
death,m,1.0,whiteshark
no injury,m,0.0,whiteshark
no injury,m,0.0,whiteshark
death,m,1.0,whiteshark
death,,1.0,whiteshark
death,m,1.0,whiteshark
bite,m,0.0,whiteshark
,m,,whiteshark
bite,m,0.0,whiteshark
bite,f,0.0,whiteshark
no injury,m,0.0,whiteshark
